,Sample_27_1,Sample_28_1,Sample_29_1,Sample_30_1,Sample_31_1,Sample_33_2,Sample_34_3,Sample_37_2,Sample_38_1,Sample_40_2,Sample_27_5,Sample_28_5,Sample_29_5,Sample_30_5,Sample_31_5,Sample_33_5,Sample_34_6,Sample_37_5,Sample_38_5,Sample_40_5,Sample_27_neg,Sample_28_neg,Sample_29_neg,Sample_30_neg,Sample_31_neg,Sample_33_neg,Sample_34_neg,Sample_37_neg,Sample_38_neg,Sample_40_neg,Sample_27_pos,Sample_28_pos,Sample_29_pos,Sample_30_pos,Sample_31_pos,Sample_33_pos,Sample_34_pos,Sample_37_pos,Sample_38_pos,Sample_40_pos,Sample_27_2,Sample_28_2,Sample_29_3,Sample_30_2,Sample_31_2,Sample_33_3,Sample_34_5,Sample_37_3,Sample_38_2,Sample_40_3
GRIK5,0.859791838,0.241484434,0.289899228,0.975728228,0.761354912,0.8341488,-0.099601755,0.538949975,0.623420703,0.587831976,0.752682784,0.638973644,0.735722899,1.131887443,1.042150013,0.267642349,-0.210249166,0.559337378,0.622115979,0.653801595,0.680178294,-2.113986599,-2.113986599,-0.674399183,-0.104643012,-0.936398518,-0.293866092,1.660210268,-1.127971483,-0.191523334,-2.113986599,-2.113986599,-1.103109255,-2.113986599,-2.113986599,-1.043652562,-0.524082006,-0.797962251,-0.272237846,-0.140446711,0.854871681,0.480607704,0.53765523,0.753180403,0.505262567,0.618734442,0.15477569,0.480949088,0.607486382,0.753226841
HMG20B,0.541474259,0.386215263,0.8722802,0.703786433,0.60854314,-0.035253143,-0.042899097,-0.077459076,0.604526171,0.427939376,0.448563813,-0.322572894,-0.689209933,0.695772352,0.551631373,0.151221329,0.190682466,0.066239069,0.54070605,0.43463443,0.447731422,-0.487555603,-1.048214288,0.210777996,0.36308535,-0.184430866,0.170848696,-3.648743081,0.019769688,0.420656221,-0.051027259,-0.142264439,0.163834101,-3.648743081,-3.648743081,0.086383345,0.129747537,0.16151295,0.362083961,0.361057297,0.430286397,0.449336337,0.541466423,0.599458044,0.479080569,-0.142425105,0.258550975,0.20833866,0.641645026,0.43967423
HSPBP1,0.588730423,0.618389868,0.559983767,0.694037539,0.482025985,0.40737104,-0.276690673,0.229723743,0.160670407,0.383016473,0.615629925,0.70031739,0.56722858,0.959149998,0.705487655,0.301113122,0.009467751,0.329023578,0.085802117,0.509995044,0.241873231,0.039684967,-0.237709932,0.088421271,0.313381195,-0.317004198,-0.113027456,-3.193242559,-0.0669811,0.032959475,0.067618041,0.219042652,0.055859813,-3.193242559,-3.193242559,-0.149995307,-3.193242559,-0.174849107,-0.238549313,-0.007926329,0.504453953,0.787249975,0.523865197,0.635848501,0.4500515,0.544761669,0.045805209,0.238671575,0.132784569,0.526206451
ITGB8,0.186276196,0.383678907,0.039765079,1.12070647,0.565662936,1.1669281,0.606776156,0.695398689,0.755125844,0.829442324,0.502367482,0.096025555,0.330887924,1.400035437,1.031210856,0.649898694,0.580893299,0.692465104,0.813973244,0.627179426,0.540844037,-0.832060098,-1.359036445,-0.327023386,-0.15841215,-0.865280896,0.124401305,-2.675337466,-1.56896324,-0.104686955,-1.829325326,-0.522511804,-0.450836084,-2.675337466,-2.675337466,-0.344991576,-1.673369677,-0.346132568,-0.574270523,-0.012349484,0.213485978,0.354430471,0.195167827,0.644692951,0.352769296,0.812305579,0.691003785,0.642415983,0.62371173,0.725335948
JAG1,0.482801782,0.022792443,0.075150338,0.515862626,1.177757018,0.760225299,0.258599269,0.519719324,0.422263876,0.813778381,-0.338354453,-0.300095804,-0.226625395,0.762046181,1.519735768,0.163339506,-0.135387827,0.392652069,0.302673459,1.017392935,-0.335414104,-0.505740201,-2.525947456,0.053003468,0.692592687,-0.402329258,-0.036231751,-2.525947456,-1.172812931,0.729208912,0.179355521,-0.492242781,-0.533001788,-2.525947456,-2.525947456,-0.363311439,-2.525947456,-0.12668627,-0.277003446,0.744394042,0.716314009,0.451200549,0.630664447,0.546886677,1.104219274,0.250882734,0.543776027,0.61420331,0.284781779,1.12670102
KEAP1,0.346955038,0.437207062,0.679521036,0.608945816,0.5875388,0.381385055,-0.277742218,0.068990008,0.442533065,0.34939446,0.483857836,0.121108031,0.082981623,0.689083857,0.805305443,0.315292635,0.188719234,0.229997092,0.362065495,0.391891062,0.236648825,-0.067678166,0.164883215,-0.269301724,0.093288386,-0.393965096,-0.067550696,-4.580384878,-0.573171772,0.168803469,-0.112581398,-0.262361286,-0.296243302,-0.291711336,-4.580384878,-0.076726746,-0.481967718,-0.069139389,-0.031042736,0.129790026,0.450500764,0.568306828,0.487591143,0.580269141,0.553505706,0.322172999,-0.004105374,0.219553472,0.448284633,0.43968746
KLHDC8A,0.635738994,0.648608206,0.44809025,1.695826195,1.062533222,1.027781485,0.514346681,0.194254479,0.730074864,0.489039448,0.298408914,-0.53563185,-0.309044333,1.864566025,0.79701161,0.193858069,-0.792212377,0.323631904,0.630816332,0.28286071,-0.161420994,-0.770783635,-2.273723434,0.553652465,0.024492101,-0.569606374,-0.159384594,-0.333624569,-0.32781644,-0.420036874,-2.273723434,-0.581822131,-1.165128359,-2.273723434,-2.273723434,-0.817022341,-2.273723434,-0.701994742,0.132911169,-0.428555272,0.511501656,0.945084946,0.470213569,1.260384694,0.700336605,0.487979078,0.937703291,0.463879812,0.650629871,0.466485406
LAMB2,0.715935089,0.095883483,0.655349043,1.063760808,0.849287278,0.558221357,0.466057695,0.469028278,0.672566779,0.9758133,0.430972777,0.0321331,-0.192546454,1.049249559,0.605981633,0.387649814,0.016232448,0.312041211,0.598095773,0.608665092,0.303414748,-1.308618504,-0.210364597,-0.39747844,-0.245566769,-1.353755861,-0.021865179,-3.260393914,-1.141410902,-0.061158408,-1.299981731,-0.765101843,-1.401873911,0.76193742,-3.260393914,-0.872325979,-1.907994138,-0.481897623,-0.474015915,0.189655966,0.727872489,0.322364553,0.828979088,1.046538032,0.665505749,0.282928285,0.79100359,0.568743444,0.713478177,0.891398022
LHFPL6,-0.038009203,0.504317991,-0.023566286,1.033518626,0.413625206,0.725060516,0.480516085,0.603331552,0.353715085,0.499275785,-0.127651311,0.539963,0.45619527,1.506007922,0.836050878,0.444340645,0.420046414,0.38952343,0.220449726,0.523666771,-0.22445883,0.196527222,-0.149472437,0.645402984,0.339711094,-0.561820042,0.445993705,-2.956654269,-1.156155475,0.239057882,-0.424472756,0.103123542,-0.701626532,-2.956654269,-2.956654269,-0.237632236,-2.956654269,-0.481245602,-0.670038786,0.034374542,-0.090001294,0.734851563,0.335494131,0.55329838,0.29026819,0.724228125,0.657835129,0.395282593,0.493854382,0.573859497
LMO2,-0.027211805,0.089781047,-0.124049989,0.781530927,0.428937615,0.286015691,0.432720817,0.455693285,0.328109724,0.024435844,-0.038367147,0.688560184,-0.14594717,0.64842729,0.449475991,0.512749826,0.294285102,0.364378573,0.344069658,0.315562259,-0.308761133,-0.174766141,-0.037939593,0.422997791,0.709951548,-0.310561321,0.343889986,-3.192109745,0.159712473,-0.17395398,-0.398791771,0.366714536,-0.146779787,-3.192109745,-3.192109745,0.370071679,-3.192109745,0.350240011,0.513675619,-0.006606539,0.235310165,0.358560847,0.39539133,0.504109371,0.835267237,0.626345853,0.9459989,0.559685929,0.448650081,0.070868168
LRP10,0.527482679,0.318170817,-0.49836963,0.6469605,0.621853834,0.582026693,0.628332299,0.383145235,0.414015349,0.289973036,0.406360826,0.056271145,-0.378670209,0.705837875,0.121272999,0.623739198,0.419248544,0.047323009,0.410327772,0.131089277,0.394300039,-0.485720887,-0.879861216,0.041658329,-0.225642871,-0.451103565,0.417310399,-0.628933136,-0.27885032,0.597236697,-0.315657551,-0.296170313,-0.229642976,-4.138021569,-4.138021569,0.356886167,-2.161935294,0.517383986,0.494855866,0.465182325,0.586336336,0.449860276,0.116335477,0.786300988,0.468769569,0.354244599,0.712226557,0.359836752,0.463327032,0.191118625
LRP5,0.908940161,0.434491888,0.50867689,0.79434358,0.876222496,0.640709141,-1.339225444,0.515041064,0.715291865,0.37861198,0.996847328,0.05217306,-0.024732788,1.234970921,1.187279873,0.637105285,0.468345115,0.59570506,0.558127104,0.460600265,1.130625061,-2.267099993,-0.324050149,-0.575966317,0.058972281,-0.056338919,-0.140141802,-2.267099993,-0.637411779,-0.010059122,-2.267099993,-0.976008374,-0.419966192,-2.267099993,-2.267099993,-0.369656049,-2.267099993,-0.09689373,-0.042184661,0.062926508,1.015297867,0.570579519,0.440365429,0.506794753,0.617403957,0.429697859,0.022556925,0.47661278,0.539591945,0.780327326
MEGF8,0.611672218,0.512627815,0.337342937,0.934564549,0.627020911,0.680842167,-0.001216819,0.612505356,0.703402547,0.741052311,0.656763611,0.6004365,0.903652203,0.961319483,0.992794951,0.452155148,0.210673509,0.657700948,0.683347352,0.753480403,0.384070583,-1.327516875,-0.384082681,-0.979834967,-0.491524879,-0.72546068,-0.1781588,-2.909022092,-0.92686631,-0.367762644,-1.848345603,-1.120040506,-0.712854527,-2.909022092,-2.909022092,-0.311794475,-0.587746592,-0.338785559,-0.029080669,0.059220757,0.695862087,0.718530077,0.565244797,0.866947745,0.541220469,0.636175436,0.159145256,0.424034283,0.625758624,0.748573826
MEIS1,-0.276003495,0.403635751,-0.479898201,1.398319398,0.33948406,0.740882261,-0.206381688,0.238593834,0.099670309,0.387828098,-0.106823877,-0.104357613,0.108515758,2.045350187,0.80989472,0.827909251,0.99981972,0.404825831,0.171552228,0.638827143,0.015218339,-0.777224945,-2.115994921,0.499176152,-0.051785111,-0.051320968,0.373900357,3.242310601,-1.490417781,0.107308365,-2.115994921,-0.076339212,0.098173466,-2.115994921,-2.115994921,0.159342549,-2.115994921,-0.915530491,-0.461317537,0.044933989,-0.269361997,0.077039184,-0.156360184,0.502415607,0.275274977,0.600905432,-0.287466286,0.211979476,-0.110619016,0.578095968
MEOX2,-0.997195188,-0.375992598,-0.626921909,1.992235974,1.494262162,1.19582035,-0.653898222,0.7918791,-0.825269286,0.783026576,-0.927815776,-0.444573032,-0.689648194,2.298631808,1.779771467,0.563109616,-0.551425073,1.046581208,-0.503431811,0.811665275,-0.997072515,-1.028325293,-1.028325293,1.144180471,1.118628129,0.500453311,-0.914079354,-1.028325293,-0.348937567,0.867471817,-1.028325293,-1.028325293,-1.028325293,-1.028325293,-1.028325293,-0.067610021,-1.028325293,0.103221546,-1.028325293,0.62925704,-1.028325293,-0.262648357,-0.490923861,1.30552124,1.115108281,1.028650143,-0.652568504,0.918614306,-0.850853068,1.004352737
MLC1,-0.082478087,1.045064658,-0.029422419,1.463454936,0.422258221,0.352446059,-0.304189325,0.83817446,0.758065047,-0.055914869,0.628654451,0.989709826,0.573974134,1.708336711,0.805367888,0.813167685,0.46469362,0.542573932,0.892717022,0.073429679,-0.011618088,-0.548780267,-0.754860184,-0.191781641,-0.365030173,-1.857437518,-0.210348367,0.774458123,-1.582607126,-1.360410737,-0.932608365,-0.499999798,-1.557815316,-0.528302923,-3.507033634,-1.301047539,0.478216945,-0.760307598,-1.302908611,-1.491169881,0.149775751,0.75106291,0.671347032,1.166513396,0.567924247,0.670172693,0.905402627,0.534462709,0.601204703,-0.406557
NES,0.686342563,0.662379542,0.595477797,0.619808325,0.854188194,0.864449693,-0.139656598,0.474728968,0.719888646,0.916621856,0.547137181,0.009891554,-0.72013974,1.059557213,1.334940132,0.194572292,-0.540136943,0.375767052,0.72858891,1.018933738,-0.055795279,-0.524141496,-1.182140881,-0.798517007,0.143151116,-0.728564366,-0.137078766,-1.058192339,-0.792066759,0.205978813,-2.375878857,-0.723045092,-1.286565182,-0.2344631,-3.197206765,-0.735412223,-3.197206765,-0.284174946,-0.261447856,0.488834748,0.730417144,0.665423599,0.582342065,0.509617629,0.849370769,0.312591858,0.537628449,0.535209704,0.664846226,1.083145182
NPAS3,0.824976119,0.890157782,0.412762042,1.292532818,0.584846183,0.550249656,-0.437342326,0.717351398,0.470516413,0.190326035,1.071662028,0.395622333,0.312760578,1.427431768,0.789771658,0.633113338,0.580782546,0.686711161,0.571132477,0.374365081,0.807622357,-2.569657542,-0.918078376,-0.757991353,-0.626443196,-0.811967309,-0.275142726,-2.569657542,-1.305256068,-0.556917955,-2.569657542,-0.160680381,-1.004712755,0.375992777,-2.569657542,-0.643374243,-0.228731344,-0.823454568,-0.619738289,-0.299299981,0.943408851,0.830213844,0.603253562,0.767213605,0.372278949,0.749719572,0.156745602,0.621720933,0.361275582,0.38124399
