,Sample_27_1,Sample_28_1,Sample_29_1,Sample_30_1,Sample_31_1,Sample_33_2,Sample_34_3,Sample_37_2,Sample_38_1,Sample_40_2,Sample_27_5,Sample_28_5,Sample_29_5,Sample_30_5,Sample_31_5,Sample_33_5,Sample_34_6,Sample_37_5,Sample_38_5,Sample_40_5,Sample_27_neg,Sample_28_neg,Sample_29_neg,Sample_30_neg,Sample_31_neg,Sample_33_neg,Sample_34_neg,Sample_37_neg,Sample_38_neg,Sample_40_neg,Sample_27_pos,Sample_28_pos,Sample_29_pos,Sample_30_pos,Sample_31_pos,Sample_33_pos,Sample_34_pos,Sample_37_pos,Sample_38_pos,Sample_40_pos,Sample_27_2,Sample_28_2,Sample_29_3,Sample_30_2,Sample_31_2,Sample_33_3,Sample_34_5,Sample_37_3,Sample_38_2,Sample_40_3
DUSP2,-1.36150094,-0.878095067,-0.42166344,-0.838175238,-1.181599199,-0.600653912,-0.194608107,-0.275362844,-0.655883815,-0.96912766,-1.078628733,0.08346043,0.066770311,-0.350055335,-0.940991157,-0.305288319,-0.261270649,0.315157361,-0.820533917,-0.158810687,0.895338055,0.935101722,1.075564174,1.154399891,0.186380174,0.537737285,1.402982097,-1.627913761,1.498373937,1.644955167,0.825951066,0.889668183,1.139664824,1.898115223,-1.627913761,1.490096055,-0.110465495,1.690768655,1.538907727,1.751420259,-1.208776707,-0.492409217,-0.558641895,-0.871041436,-1.123657282,-0.06428063,-0.090134368,-0.314987845,-0.892635089,-0.745706092
EGR2,-1.01738344,-1.249914674,-1.048523858,-0.844442854,-0.64153597,-0.409709666,0.079937253,-0.22543741,-0.702852263,-0.478006654,-1.226125992,-0.878034232,-1.517964658,0.188639668,-0.70542553,-0.846401793,0.455459402,0.799874949,-0.525529448,-0.009548413,1.384522727,-0.561877886,1.013066488,0.960899518,0.651765294,0.486822697,1.498559218,0.814286188,0.673859874,0.685994582,0.318304195,0.081310287,1.639335292,1.845594644,-2.942538811,1.632748306,-0.228537432,1.276071311,1.718554354,1.305478877,-0.374370376,-0.717390771,-0.875486811,-0.542861744,-0.846887309,-0.573587548,0.627970789,0.562159827,-0.27660345,-0.434236748
EGR3,-1.974075624,-1.608607984,-1.077278007,-0.476046016,-1.14755188,-0.624557544,-0.532114511,0.121143463,-0.665641902,-0.746597302,-1.025859853,0.124555081,0.134356789,0.184866269,-0.755624472,-0.564981681,0.651962936,1.257558394,-0.287621793,0.493658685,1.201131706,-0.623023564,0.17650961,0.926498911,0.832971235,0.431092668,1.402661455,-2.71956443,0.304764411,0.535976264,0.875817429,-0.003252777,1.516938459,0.784791324,1.617969727,1.69033787,-0.329925357,1.394475902,1.575079674,0.967402815,-1.019153718,-0.864435147,-1.014320785,-0.16591982,-1.064756177,-0.06091177,0.441654905,0.936410927,-0.605786158,-0.622978634
ETS2,-0.456914068,-0.421912238,-0.172614342,-0.871396381,-1.257410681,-0.325853045,0.647461819,0.467961425,-0.158566561,-0.224322766,-0.409037114,0.207955426,0.673465906,-0.741243828,-1.146915419,0.000783458,0.297667275,0.547577403,-0.161039031,0.241259061,0.696635421,-1.492090317,1.041485201,0.964863694,0.386592232,-0.86428925,1.012395395,-4.189852246,-0.004047798,1.044898007,0.551464489,0.28822889,0.641995917,1.847687989,-1.168047605,0.616457465,-1.607716881,1.947043542,1.29342909,1.215935768,-0.241865877,-0.146995411,-0.075727069,-0.587219196,-0.755903906,0.182743044,0.315096651,0.672580117,-0.12793316,-0.194750496
GADD45B,-0.426223121,-1.05420307,-0.942288753,0.010452535,0.320702783,-0.855344156,-0.144727523,-0.312274253,-0.37964023,-0.346766223,-0.654289986,-0.341963584,-0.990911478,0.298815826,-0.307022057,-0.820662906,-0.872199354,-0.030966181,-0.990841015,-0.359134339,1.228172949,-0.273578239,1.058908115,1.569215619,0.259178576,0.127920706,0.905064,-1.00098679,0.780450573,0.810972712,1.231642225,0.606993598,1.268190193,0.276508243,-4.470637081,1.343483056,0.617662779,1.378640799,1.332353698,1.167939201,0.541044265,-0.417799699,-0.857041052,-0.002867356,0.281737678,-0.587283203,0.315480789,0.436075715,-0.217327604,-0.510627384
HBEGF,0.042024061,-0.423462815,-0.857505295,-0.565744559,-0.22830317,-0.184024557,0.420581817,-0.502784991,-0.26600072,-0.445397463,-0.461994139,-0.857577453,-1.047355219,-0.141624193,-0.341926425,-0.065659422,0.209367523,-0.313093169,-0.367436052,0.032364529,0.733873846,-0.646680006,-0.105495345,1.379119561,-0.196378446,0.19567316,1.186517323,-3.404788333,0.374806158,0.932000188,1.001626562,0.053777337,0.958061565,1.163769135,-3.404788333,1.945949932,0.37945267,1.50947061,1.492675707,1.550391043,0.605286126,-0.493144462,-0.607496272,-0.350804122,-0.194872571,-0.281948699,0.619673796,0.294515137,0.064477906,-0.389169458
ICAM1,-1.398025066,-0.979732816,-0.415510409,0.497888188,0.633904955,-0.22768666,0.351660007,0.140622779,0.158294385,-0.328356317,-1.026726032,-0.912764073,-1.580346995,-0.908264001,-1.524311184,-0.441659427,-0.80122905,-0.708998288,-0.491116742,-0.876683589,0.852492557,-0.10696825,-0.136054932,0.380671052,-0.703794431,-0.260523725,1.208254782,1.762357633,0.0633897,0.717160327,2.166861175,0.156302998,0.866874945,-3.207806086,-0.643706157,1.178433214,1.848615249,1.52419154,0.834065065,0.901535889,-0.818420103,0.134727574,-0.301998989,0.521694218,0.450487809,-0.284055248,0.54523673,0.912667197,0.908502685,-0.63215408
ID2,0.395309145,-0.211823566,-0.445215403,0.396632963,0.938527998,0.317517881,-0.136311612,-0.105449205,0.316238136,0.302836587,-0.050756554,-0.328479032,-0.138267508,0.113186828,0.14403666,-0.360148894,-0.995309907,0.167525178,0.495605325,-0.09616304,0.602177666,-0.247318928,-1.902094667,0.739717729,0.292392113,-0.603480004,0.303332855,0.415730246,0.554777196,0.600601234,0.294007669,-0.498393973,0.518167269,1.68902876,-5.400029992,0.76022623,-1.942091016,0.9622577,0.923503623,0.641315988,0.371346687,-0.219736396,-0.380049999,0.141586806,0.190506635,-0.12349961,-0.025879646,0.137645358,0.298592899,0.186167588
IER2,-1.120066603,-0.73552826,-0.593440219,-0.258154257,-0.426332849,-0.543947791,-0.71679112,-0.139748486,-0.499947764,-0.482327779,-0.828913429,-0.311177507,-1.142881113,1.048613106,-0.275899089,-0.525393703,0.008532534,0.279259984,-0.651885381,-0.004687911,0.85466152,-0.033586856,0.768396112,0.904061274,0.500052522,0.684476331,1.278223184,-0.393806913,0.792375189,1.270200719,0.727771791,0.6045796,1.091808937,1.004674742,-4.548532065,1.188912588,1.109248257,1.243447346,1.267707679,1.47206483,-0.88209705,-0.487269709,-0.639318362,-0.16529746,-0.579720387,-0.649284341,0.004068021,0.311233224,-0.39905095,-0.379282137
IL1A,-1.021358616,-0.771524563,-0.976234142,-0.463634374,-0.672110761,-0.727143817,-0.460605084,-0.500100549,-0.29366107,-0.642310122,-1.004909618,-0.871972698,-1.059073615,-0.472853531,-1.158334982,-0.396225999,-0.749393239,-0.032623786,-0.248992537,-0.679034382,1.391996855,-0.152343934,1.159641064,1.468727933,0.002326124,0.141389842,1.413763914,-1.404943504,0.985247162,1.013812714,1.900174707,0.680230201,1.456589268,1.885429815,-1.404943504,1.207390784,1.649442443,1.750882509,1.692536976,1.217024924,-0.531618457,-0.573079272,-1.040547722,-0.487277685,-0.49382055,-0.902834157,-0.36228561,0.272161817,0.03383254,-0.76680971
