,Sample_27_1,Sample_28_1,Sample_29_1,Sample_30_1,Sample_31_1,Sample_33_2,Sample_34_3,Sample_37_2,Sample_38_1,Sample_40_2,Sample_27_5,Sample_28_5,Sample_29_5,Sample_30_5,Sample_31_5,Sample_33_5,Sample_34_6,Sample_37_5,Sample_38_5,Sample_40_5,Sample_27_neg,Sample_28_neg,Sample_29_neg,Sample_30_neg,Sample_31_neg,Sample_33_neg,Sample_34_neg,Sample_37_neg,Sample_38_neg,Sample_40_neg,Sample_27_pos,Sample_28_pos,Sample_29_pos,Sample_30_pos,Sample_31_pos,Sample_33_pos,Sample_34_pos,Sample_37_pos,Sample_38_pos,Sample_40_pos,Sample_27_2,Sample_28_2,Sample_29_3,Sample_30_2,Sample_31_2,Sample_33_3,Sample_34_5,Sample_37_3,Sample_38_2,Sample_40_3
PDE6D,0.281788359,0.527351706,0.370192644,-0.046049772,0.189592347,-0.114785243,-0.663904848,0.19734599,0.405484873,0.280520093,0.470133692,0.213408807,0.277636473,0.28433162,0.559172616,0.440503095,0.559712491,0.281638587,0.490981116,0.522068775,0.565229038,-0.240861226,-0.298269177,0.409759973,0.472390331,-0.326064577,0.2753886,0.668431541,-0.126165569,0.400311654,-3.721831848,-0.496276356,0.773708441,0.740750754,-3.721831848,0.277326846,-3.721831848,-0.152850071,0.144789629,0.213774797,0.360103913,0.488428312,0.306182119,-0.06530165,0.177374666,0.289893118,-0.296223315,0.29582706,0.227742451,0.55297082
PGBD5,-0.303398519,0.597310855,0.071888172,-0.075007739,-0.567872047,0.472270381,0.791800395,0.991097228,0.623128943,0.242259517,-0.213152887,1.250213003,1.628585647,-0.171200079,0.508758618,0.620941256,0.646170086,1.108013293,0.758597258,0.797465589,0.019339747,-1.020754175,-2.508948805,-0.043809869,-0.309937626,-0.172651005,0.463894605,-2.508948805,-0.451268797,-0.003813388,-2.508948805,-0.770934312,-0.151649922,-2.508948805,-2.508948805,0.732819315,-0.593542979,-0.272318679,0.777963569,0.295723057,-0.026891376,0.724188644,0.493575912,0.032302047,0.178038981,1.082329676,0.588854871,0.488074161,0.391504636,0.315837958
PLCL1,-0.459796173,0.948070147,-0.52686732,-0.58731775,-1.354296083,-0.301786095,-1.18242999,0.521861566,0.204111728,0.355449245,0.147596973,0.180554284,1.047374406,-0.70812382,-0.343560221,1.418011942,1.660712558,0.905376441,0.410859474,0.86626922,0.683598717,-2.175806322,0.730355892,0.521141716,-0.574120982,0.195356488,1.057291118,1.600064215,-0.887331789,0.221945471,-2.175806322,-0.15170783,0.593486808,-2.175806322,-2.175806322,1.07474051,-2.175806322,0.904629409,0.5090638,0.420447878,-0.317068924,0.161351032,0.224793601,-0.185992222,-0.104011068,1.094170379,-0.685639536,0.726589227,-0.37466662,0.238473785
PPA1,0.695612916,0.445297826,0.473974729,-0.466879523,-0.188609752,-0.066798655,0.370672515,0.507015218,0.256269054,-0.045181041,0.587818844,0.54600748,0.859130995,-0.401696604,-0.100605849,0.59705021,0.601058298,0.580517397,0.290823942,0.353649248,0.594445184,-0.632172861,0.423503973,0.435407151,0.130497126,-0.123104851,0.435087917,-4.235556196,-0.011373428,0.064055987,-1.993925253,0.100006469,0.621813972,0.298392787,-4.235556196,0.533249953,-1.080397666,-0.186907267,0.310306638,-0.015859306,0.582890975,0.434591599,0.44859858,-0.255470656,0.046614129,0.424462115,0.283777946,0.405829261,0.237722503,0.063942166
PPFIA2,-0.447545124,0.709764872,0.172930532,0.762612836,-0.446175951,0.296149999,0.107339934,1.439567918,0.204436374,-0.310832667,0.084282753,1.595180396,2.387567981,-0.2755656,0.545342948,1.183914874,1.0949488,1.433357855,0.365864087,0.577694151,0.62723322,-0.789399575,-1.969331194,-0.041173659,-0.73418608,-0.752166255,0.56716104,-1.969331194,-1.265363184,-0.677338776,-0.463077409,-0.787522257,0.159840389,-1.969331194,-1.969331194,-0.249756907,-1.969331194,0.168020218,-0.493174505,-0.581697077,-0.647169267,1.044580598,0.880481839,0.572377778,-0.29750174,1.689523096,-0.382467409,0.489528863,0.202835551,0.126230513
PRPSAP2,0.6629391,0.627462481,0.335943847,0.249263351,0.180059875,0.548548624,-0.356082051,0.218204162,0.509421372,0.326664173,0.648801616,0.331180298,0.280077446,0.32189107,0.417903693,0.636386568,0.480355846,0.370648947,0.569835606,0.43996723,0.474882909,-0.201235226,-0.357267034,0.335547723,0.184190772,-0.48872218,0.062328767,-3.658759553,-0.370082248,0.218348237,-1.208557005,-0.34217493,0.446519748,0.569101427,-3.658759553,0.427269686,-3.658759553,0.064694825,0.239641393,0.032265589,0.547239657,0.499741571,0.363935072,0.115542588,0.160882619,0.483637051,-0.228352931,0.268623016,0.45701664,0.421787667
REPS2,0.312576893,0.445677141,0.036320301,-1.265376118,-1.337420503,-0.378833513,-0.18137114,0.972835901,0.410574503,-0.339723428,0.815012437,1.138283599,2.075968087,-1.289361667,-0.451502231,0.863408031,1.13108955,1.260057914,0.491888724,0.618043297,1.052467945,-0.420770503,-0.129878736,-0.182138028,-0.977595321,-0.291203777,0.56479689,2.533995104,-0.904253674,0.228903751,-1.858026004,-0.53255658,0.615985485,-2.166847777,-2.166847777,0.421230891,-2.166847777,0.030419143,0.132792268,0.1709892,0.355944602,0.338300448,0.572665501,-0.71421446,-0.550491044,1.220102303,-0.350800418,0.134401368,0.039915378,-0.328586182
RERGL,-0.581445441,0.742824155,0.011446316,0.141871737,-1.26831925,-0.418437171,-1.550940701,1.236367243,0.578203308,-0.107831481,0.949960939,1.164998771,1.127062019,0.239684055,0.175765654,0.335370348,0.528139142,0.647377769,0.868385392,0.60148872,0.250142225,-1.626034134,-1.626034134,1.487560681,1.679151352,-1.626034134,-0.812182714,-1.626034134,-0.028205978,0.174310142,-1.626034134,1.567252311,0.884039891,-1.626034134,-1.626034134,-0.755786487,-1.626034134,-0.583876446,0.007836105,0.142879546,0.130404456,1.009344275,1.104000684,0.257179831,-0.170117175,0.593590329,-1.100759933,0.576387305,0.117857051,1.055294096
RND1,0.662280209,0.432992875,-0.175002449,0.246935633,-0.290975517,0.400052417,-0.704711345,0.965038609,0.563567012,-0.085805301,0.676729493,1.495304448,1.645648763,0.669230948,0.548663973,0.074128671,-0.006441009,1.103990632,0.904880855,0.431736218,0.743448718,-2.130191469,-2.130191469,0.43530842,-0.077598266,-0.80045611,0.498859945,-2.130191469,-0.200756717,0.074879286,-2.130191469,-0.54673259,0.720147065,-2.130191469,-2.130191469,-0.006410698,-2.130191469,0.384471387,0.009849572,-0.36542291,0.657612851,0.874801224,0.574678952,-0.202957004,0.202765712,1.002291387,0.210918165,0.7611614,0.338618576,0.06361678
ROGDI,-0.541774148,0.913399977,-0.443696931,-0.541038339,-0.641009318,-0.706865662,-1.159693626,0.330336079,0.08412703,-0.093844567,0.090689262,0.69478312,0.758609173,-0.742620526,-0.036226561,1.063020037,1.432506997,0.68554107,0.30622683,0.492472016,0.109249972,0.392400431,0.707242935,0.434214095,-0.164619178,0.803304786,0.763063472,-3.721985865,0.321116851,-0.124344332,0.691963592,0.638479957,1.637138144,-0.022784841,-3.721985865,0.76080637,-1.66458388,0.437367498,0.426619644,-0.17136002,-0.454681286,0.449232571,0.312832114,-0.284836517,-0.180960475,0.698094354,-0.875654085,0.369367444,-0.261076363,-0.248563437
